Subject Activity featureWanted.names NA
1 WALKING 0.277330758736842 -0.0173838185273684
1 WALKING_UPSTAIRS 0.255461689622641 -0.0239531492643396
1 WALKING_DOWNSTAIRS 0.289188320408163 -0.00991850461020408
1 SITTING 0.261237565425532 -0.00130828765170213
1 STANDING 0.278917629056604 -0.0161375901037736
1 LAYING 0.22159824394 -0.0405139534294
2 WALKING 0.276426586440678 -0.0185949199145763
2 WALKING_UPSTAIRS 0.247164790395833 -0.0214121132045833
2 WALKING_DOWNSTAIRS 0.27761534806383 -0.0226614158361702
2 SITTING 0.27708735173913 -0.0156879937282609
2 STANDING 0.277911472222222 -0.0184208270166667
2 LAYING 0.281373403958333 -0.0181587397583333
3 WALKING 0.275567462068966 -0.0171767844203448
3 WALKING_UPSTAIRS 0.260819873067797 -0.0324109410555932
3 WALKING_DOWNSTAIRS 0.292423484693878 -0.0193554079328571
3 SITTING 0.257197599134615 -0.00350299841730769
3 STANDING 0.280046513278689 -0.0143376555065574
3 LAYING 0.275516852741935 -0.0189556785048387
4 WALKING 0.278582015166667 -0.0148399475341667
4 WALKING_UPSTAIRS 0.270876696730769 -0.0319804295729615
4 WALKING_DOWNSTAIRS 0.279965329555556 -0.00980200850666667
4 SITTING 0.27153827992 -0.007163065158
4 STANDING 0.280499745892857 -0.00948911098553571
4 LAYING 0.263559214981481 -0.0150031841055556
5 WALKING 0.27784234625 -0.0172850317482679
5 WALKING_UPSTAIRS 0.268459469914894 -0.0325269755153191
5 WALKING_DOWNSTAIRS 0.29354392712766 -0.00850107533191489
5 SITTING 0.273694139545455 -0.00990083527045455
5 STANDING 0.282544390892857 -0.00700418554517857
5 LAYING 0.278334325576923 -0.0183042123269231
6 WALKING 0.283658868070175 -0.0168954189082456
6 WALKING_UPSTAIRS 0.268229355098039 -0.0272425385070588
6 WALKING_DOWNSTAIRS 0.277045258145833 -0.019536840063125
6 SITTING 0.276778487454545 -0.0145911615290909
6 STANDING 0.280346248596491 -0.0181236327175439
6 LAYING 0.248656520140351 -0.0102529170561404
7 WALKING 0.275592961754386 -0.018653665345614
7 WALKING_UPSTAIRS 0.248706923078431 -0.0275639005607843
7 WALKING_DOWNSTAIRS 0.28030708 -0.0166332372978723
7 SITTING 0.284674637291667 -0.01461097580375
7 STANDING 0.282723539433962 -0.0145740341037736
7 LAYING 0.250176694038462 -0.0204411516884615
8 WALKING 0.27468631 -0.0186628865310417
8 WALKING_UPSTAIRS 0.258880152048781 -0.0282415136341463
8 WALKING_DOWNSTAIRS 0.283484089210526 -0.0211058674973684
8 SITTING 0.267491472934783 -0.00672550621304348
8 STANDING 0.279620986111111 -0.0148113067148148
8 LAYING 0.261254282907407 -0.0212281733881481
9 WALKING 0.278502842115385 -0.0180891971284423
9 WALKING_UPSTAIRS 0.262436475714286 -0.0195101099975714
9 WALKING_DOWNSTAIRS 0.295923445 -0.0203994269075476
9 SITTING 0.24832674354 -0.02701677698
9 STANDING 0.282310057333333 -0.0200454954022222
9 LAYING 0.2591955368 -0.020526821662
10 WALKING 0.278574076603774 -0.017022351190566
10 WALKING_UPSTAIRS 0.267121853404255 -0.0143854920340426
10 WALKING_DOWNSTAIRS 0.290401594315789 -0.0200050770710526
10 SITTING 0.270612056481481 -0.015042681852037
10 STANDING 0.276650300681818 -0.0155418603409091
10 LAYING 0.280230574137931 -0.024294484137931
11 WALKING 0.271821892881356 -0.0166475833623729
11 WALKING_UPSTAIRS 0.263775859277778 -0.0303157822055556
11 WALKING_DOWNSTAIRS 0.291605631956522 -0.0178097721219565
11 SITTING 0.276590197358491 -0.0149195616754717
11 STANDING 0.277715562765957 -0.0171990886595745
11 LAYING 0.280592970877193 -0.0176598052315789
12 WALKING 0.2771286656 -0.015560927606
12 WALKING_UPSTAIRS 0.272970338653846 -0.0263574903403846
12 WALKING_DOWNSTAIRS 0.281521097391304 -0.018084266865793
12 SITTING 0.275007224901961 -0.0157892988523529
12 STANDING 0.277405834918033 -0.0169002543196721
12 LAYING 0.260113433 -0.0175203917146667
13 WALKING 0.275883130350877 -0.0185660651947368
13 WALKING_UPSTAIRS 0.258203939581818 -0.0277392253910909
13 WALKING_DOWNSTAIRS 0.294907553404255 -0.0143723839108511
13 SITTING 0.274328499591837 -0.00587732936326531
13 STANDING 0.277758431052632 -0.0167891993964912
13 LAYING 0.276716360483871 -0.020440454366129
14 WALKING 0.271959598644068 -0.0217785380966102
14 WALKING_UPSTAIRS 0.26242106612963 -0.0204388180024074
14 WALKING_DOWNSTAIRS 0.293422115555556 -0.0200141413657778
14 SITTING 0.279990577037037 -0.00870565463888889
14 STANDING 0.280545613833333 -0.01520781344
14 LAYING 0.233275439803922 -0.0113424652490196
15 WALKING 0.273899207962963 -0.0170809740090741
15 WALKING_UPSTAIRS 0.270187595833333 -0.0287523860708333
15 WALKING_DOWNSTAIRS 0.280198851190476 -0.00563047804309524
15 SITTING 0.27290337979661 -0.0117188472271186
15 STANDING 0.278915803962264 -0.0183516360396226
15 LAYING 0.2894756525 -0.0166296542054167
16 WALKING 0.276023564509804 -0.0204286929452941
16 WALKING_UPSTAIRS 0.255986102627451 -0.0143654945011765
16 WALKING_DOWNSTAIRS 0.295586802191489 -0.0183898583787234
16 SITTING 0.280768574492754 -0.0102497939956522
16 STANDING 0.283497402948718 -0.0165999672935897
16 LAYING 0.274227162571429 -0.0166103510562857
17 WALKING 0.272341855245902 -0.0184875403339344
17 WALKING_UPSTAIRS 0.252604768583333 -0.0228645614308333
17 WALKING_DOWNSTAIRS 0.29391828326087 -0.0167359404347826
17 SITTING 0.2773570196875 -0.014156274084375
17 STANDING 0.277942503333333 -0.0174120064169231
17 LAYING 0.269780085577465 -0.0168462006729577
18 WALKING 0.273887758571429 -0.0178023631866071
18 WALKING_UPSTAIRS 0.265401201896552 -0.0222060684378914
18 WALKING_DOWNSTAIRS 0.288439468909091 -0.0168666920221818
18 SITTING 0.27727001877193 -0.0128691279736842
18 STANDING 0.278458805890411 -0.0166353518150685
18 LAYING 0.274691576923077 -0.0173937684615385
19 WALKING 0.273931172307692 -0.0191773587903846
19 WALKING_UPSTAIRS 0.242118808925 -0.0303986615775
19 WALKING_DOWNSTAIRS 0.262688053871795 -0.0145942275069487
